state,national_highway,plazas
"Andhra Pradesh",5,10
"Andhra Pradesh",565,6
"Andhra Pradesh","16(old 5)",6
"Andhra Pradesh",67,5
"Andhra Pradesh",42,5
"Andhra Pradesh","40 (Old 18)",3
"Andhra Pradesh",44,3
"Andhra Pradesh","216 (old 214)",3
"Andhra Pradesh",16,3
"Andhra Pradesh","216A(Old 5)",2
"Andhra Pradesh",40,2
"Andhra Pradesh",167BG,2
"Andhra Pradesh",NH-516E,2
"Andhra Pradesh",544D,2
"Andhra Pradesh",71,1
"Andhra Pradesh","216 (Old NH-214A)",1
"Andhra Pradesh",NH-340,1
"Andhra Pradesh",65,1
"Andhra Pradesh","69(Old NH-4)",1
"Andhra Pradesh","NH-716 ( NH-205",1
"Andhra Pradesh",221,1
"Andhra Pradesh",NH-565,1
"Andhra Pradesh","NH-65 (Old NH-9)",1
"Andhra Pradesh",NH-75,1
"Andhra Pradesh","NE-5 (New NH-16)",1
"Andhra Pradesh",516C,1
"Andhra Pradesh",NH-71,1
"Andhra Pradesh",18new-40,1
"Andhra Pradesh",167,1
"Andhra Pradesh",167B,1
"Andhra Pradesh",544E,1
"Andhra Pradesh",167AD,1
"Andhra Pradesh",NH-42,1
"Andhra Pradesh",NH-216,1
"Andhra Pradesh",NH-26,1
"Andhra Pradesh","326 A",1
"Andhra Pradesh",NH-167B,1
"Andhra Pradesh",NH-67,1
"Andhra Pradesh",18,1
"Andhra Pradesh",214A(New-216),1
"Andhra Pradesh",9,1
"Andhra Pradesh",216,1
"Andhra Pradesh",544DD,1
"Andhra Pradesh","26 (old-43)",1
"Andhra Pradesh",NH-340C,1
"Andhra Pradesh",140,1
"Andhra Pradesh","544 E",1
Assam,31,3
Assam,37,1
Assam,"36 & 37",1
Assam,31C,1
Assam,"31 C (New-27)",1
Assam,54,1
Assam,27,1
Assam,54E,1
Bihar,27,7
Bihar,22,4
Bihar,33,3
Bihar,922,3
Bihar,31,3
Bihar,19,3
Bihar,"327 E",2
Bihar,122,2
Bihar,722,2
Bihar,531,2
Bihar,20,2
Bihar,319,1
Bihar,"527 D",1
Bihar,"131 G",1
Bihar,333B,1
Bihar,"28 B",1
Bihar,"327 (E)",1
Bihar,527,1
Bihar,"131 A",1
Chhattisgarh,"NH 53",6
Chhattisgarh,"NH 30",4
Chhattisgarh,"NH 130",4
Chhattisgarh,"NH 49",3
Chhattisgarh,"NH 43",2
Chhattisgarh,43,1
Chhattisgarh,49,1
Chhattisgarh,30,1
Chhattisgarh,149B,1
Delhi,NH-9,3
Delhi,NH-334,2
Delhi,48,1
Gujarat,27,7
Gujarat,754A,6
Gujarat,NE-4,6
Gujarat,NE-1,6
Gujarat,8B,4
Gujarat,NH-51,4
Gujarat,NH-48,4
Gujarat,48,3
Gujarat,168,2
Gujarat,51,2
Gujarat,41,2
Gujarat,53,2
Gujarat,"NH-48 (old NH-8)",2
Gujarat,8E,2
Gujarat,"8 D",2
Gujarat,NH-47,2
Gujarat,NH-151A,1
Gujarat,NH-751,1
Gujarat,151A,1
Gujarat,"NH-47 old NH-59",1
Gujarat,NH-27,1
Gujarat,NH-341,1
Haryana,152D,16
Haryana,NE-5,7
Haryana,NH-54,6
Haryana,NE-II,4
Haryana,NE-4,4
Haryana,"10 (New -9)",3
Haryana,"44 (old NH-1)",3
Haryana,2,3
Haryana,NH-334B,3
Haryana,"152 (old NH-65)",2
Haryana,71,2
Haryana,148B,2
Haryana,"10 (New NH-09)",2
Haryana,NH-709A,2
Haryana,71A,2
Haryana,48,1
Haryana,1,1
Haryana,73,1
Haryana,334B,1
Haryana,"71 (new-352)",1
Haryana,"73 (new NH-7)",1
Haryana,NH-248A,1
Haryana,NH-148B,1
Haryana,709AD,1
Haryana,"NH - 148NA",1
Haryana,"NH-65 5(2N)ew NH-",1
Haryana,10,1
Haryana,"NH-65 (New NH- NH-65 5(2N)ew NH-",1
Haryana,NH-344P,1
Haryana,"22 (new NH 5)",1
Haryana,NH-352A,1
Haryana,"t of New NH-344 & N",1
Haryana,"352 A",1
Haryana,NH-352,1
Haryana,52),1
Haryana,30),1
"Himachal Pradesh","21 (new-3)",2
"Himachal Pradesh","911A & 911",1
"Himachal Pradesh",NH-21,1
"Himachal Pradesh","NH88 (New NH-503",1
"Jammu & Kashmir","1A (New NH-44)",3
"Jammu & Kashmir","1A (44 new)",2
"Jammu & Kashmir",44,2
"Jammu & Kashmir",NH-244A,1
Jharkhand,33,3
Jharkhand,23,3
Jharkhand,NH-33,2
Jharkhand,2,2
Jharkhand,31,1
Jharkhand,"NH-43(Old NH-23)",1
Jharkhand,"19 (Old NH-2)",1
Jharkhand,NH-39,1
Jharkhand,98,1
Jharkhand,32,1
Jharkhand,"NH-33 (new-18)",1
Jharkhand,114A,1
Jharkhand,"18 (Old NH-32)",1
Jharkhand,75,1
Jharkhand,"NH-33 (new NH -18)",1
Jharkhand,133,1
Karnataka,4,11
Karnataka,"66 (Old 17)",6
Karnataka,48,4
Karnataka,7,4
Karnataka,"212 (New-766)",3
Karnataka,13,3
Karnataka,"13 (New NH – 50)",2
Karnataka,"NH-50 (Old NH-13)",2
Karnataka,"Old NH-4 (New NH-48)",2
Karnataka,NH-63,2
Karnataka,275,2
Karnataka,218(New-50),2
Karnataka,150A,1
Karnataka,648,1
Karnataka,"648 (Old-NH-207)",1
Karnataka,"206 (New-73 & 69)",1
Karnataka,"48(Old NH4)",1
Karnataka,206,1
Karnataka,NH-150A,1
Karnataka,"NH-748 (Old NH-4A",1
Karnataka,NH-275,1
Karnataka,161A,1
Karnataka,NH-353J,1
Karnataka,209,1
Karnataka,NH-218,1
Karnataka,75,1
Karnataka,"209 (New NH-948)",1
Karnataka,"48(new 73)",1
Karnataka,150-A,1
Karnataka,13(new-52),1
Karnataka,9(New-65),1
Kerala,544,3
Kerala,66,3
Kerala,85,1
Kerala,966A,1
"Madhya Pradesh",44,9
