national_highway,total_plazas
NE-4,32
44,25
27,24
48,19
NH-754A,19
7,16
152D,16
4,15
5,15
3,13
52,12
NE-II,11
11,10
45,9
53,9
8,8
65,8
9,8
361,8
6,7
2,7
"2 ( new NH-19)",7
NH-9,7
NH-334,7
730,7
31,7
NE-5,7
754A,7
NE-1,6
"NH-2 (New NH-19)",6
15,6
"16(old 5)",6
"NH 53",6
67,6
58,6
"66 (Old 17)",6
39,6
30,6
565,6
NH-544(47),6
33,6
NH-54,6
NE-4C,6
12,5
163,5
24,5
"12 (Old NH -34)",5
91,5
"64 (new 7)",5
NH-62,5
NH-11,5
161,5
47,5
"NH 30",5
42,5
NH-48,4
"NH-44 ( NH-7",4
19,4
"44 (old NH-1)",4
"NH-24 (New NH-9)",4
8B,4
71,4
45B,4
"19 (Old NH-2)",4
14,4
NH-7,4
148D,4
112,4
NH-51,4
46,4
43,4
"NH 130",4
215,4
22,4
13,3
"NH-544 ( NH-47",3
"68 (New NH 79)",3
544,3
66,3
28,3
NH-27,3
"40 (Old 18)",3
"10 (New -9)",3
NH-334B,3
"911A & 911",3
"1A (New NH-44)",3
74,3
458,3
76,3
114,3
552Ext.,3
911,3
"52 (211)",3
69,3
547,3
166,3
922,3
"NH 49",3
365,3
167,3
"216 (old 214)",3
16,3
"212 (New-766)",3
49,3
"NH-81 ( NH-227",3
"NH-38( NH 234",3
23,3
"NH-77 ( NH-66",3
"NH-48 (old NH-8)",2
"448 & 58",2
"16 (Old NH-60)",2
"13 (New NH – 50)",2
81,2
41,2
71A,2
"NH-48 ( NH-46",2
"28 (new NH-27)",2
27),2
"16 (Old NH-6)",2
86,2
"216A(Old 5)",2
"10 (New NH-09)",2
758,2
122,2
73,2
148B,2
334B,2
NH-709A,2
"152 (old NH-65)",2
NH-248A,2
NH-148B,2
709AD,2
54,2
"15 (new 54)",2
344A,2
703B,2
"21 (new-3)",2
"1A (44 new)",2
NH-56,2
"232 (new NH-128)",2
231,2
"73 & 72A",2
NH-35,2
"24(Old 29E)",2
NH-509,2
NH-233,2
"233 (new NH-28)",2
NH-76,2
NH-79,2
NH-113,2
"11 B",2
"15 (New-68)",2
